Date,vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,opengap1,closegap1,highgap1,lowgap1
2014-06-18,5.0,29.0,1.3,2.3,-1.0,4.35,0.0,-0.0,-1.1,0.2,-1.7
2014-06-19,0.87,-26.0,-1.1,-1.3,-4.61,-1.39,-19.0,0.3,-0.1,0.6,-0.6
2014-06-20,0.56,-1.0,-0.1,-0.9,0.61,-2.94,11.0,-0.0,-0.5,0.2,-0.6
2014-06-23,0.61,-15.0,-0.5,-0.4,-1.74,-4.32,-7.0,0.2,-0.3,0.3,-0.8
2014-06-24,1.19,11.0,-0.3,0.5,-2.94,-3.48,-2.0,0.3,1.2,1.5,0.3
2014-06-25,-4.56,28.0,1.2,1.4,-16.14,-16.64,3.0,-0.1,-0.3,0.0,-0.4
2014-06-26,-3.33,-5.0,-0.3,-0.5,-18.45,-15.31,-13.0,0.3,-0.5,1.1,-0.6
2014-06-27,-0.42,-9.0,-0.5,-0.3,30.2,78.11,48.0,0.2,0.1,0.5,-0.3
2014-06-30,1.39,2.0,0.1,-0.5,-1.17,3.22,-8.0,0.2,1.2,1.4,0.1
2014-07-01,-1.17,31.0,1.2,1.5,-0.56,2.4,-17.0,0.2,0.4,0.6,0.0
2014-07-02,-0.52,-1.0,0.4,0.4,-2.65,-2.31,7.0,0.6,1.1,1.3,0.5
2014-07-03,1.34,34.0,1.1,1.1,6.73,2.67,-5.0,0.2,-0.2,0.3,-0.3
2014-07-04,1.97,-20.0,-0.2,-0.3,-1.14,-1.8,-4.0,0.2,0.6,0.7,-0.8
2014-07-07,6.9,12.0,0.6,0.9,-0.54,5.34,12.0,0.4,0.2,0.4,-0.3
2014-07-08,-1.17,1.0,0.2,-1.3,0.58,2.39,-25.0,0.1,-1.9,0.2,-2.3
2014-07-09,-5.17,-37.0,-1.9,-2.5,-4.48,1.51,19.0,0.0,-0.7,0.3,-1.1
2014-07-10,-12.22,-14.0,-0.7,-0.5,-0.73,-0.78,-16.0,0.2,-0.3,2.0,-1.5
2014-07-11,-1.52,-5.0,-0.3,-1.0,0.1,-3.51,-6.0,-0.2,-1.3,0.8,-1.5
2014-07-14,-1.02,-16.0,-1.3,-2.5,0.64,-4.22,16.0,0.1,-0.1,0.3,-0.5
2014-07-15,-5.11,-1.0,-0.1,0.4,3.24,-0.11,1.0,0.5,0.8,1.0,-0.1
2014-07-16,-0.25,21.0,0.8,2.6,1.58,0.51,-13.0,0.4,1.4,1.6,-0.0
2014-07-17,1.6,29.0,1.4,2.5,1.14,8.4,8.0,-0.0,0.2,0.4,-0.2
2014-07-18,0.87,8.0,0.2,-0.1,1.84,-5.59,0.0,-0.5,0.1,0.4,-0.9
2014-07-21,-1.31,-5.0,0.1,0.8,1.4,2.38,-17.0,0.4,0.2,0.6,0.1
2014-07-22,-1.73,5.0,0.2,-0.0,-0.09,-2.82,-4.0,0.4,1.1,1.1,0.3
2014-07-23,0.34,23.0,1.1,0.3,9.26,-3.63,-3.0,0.3,0.3,0.5,-0.3
2014-07-24,0.2,-2.0,0.3,0.3,2.58,-1.1,-5.0,-0.0,0.5,0.6,-0.4
2014-07-25,-3.4,13.0,0.5,0.4,-2.2,-7.92,9.0,-0.2,-0.6,-0.0,-1.1
2014-07-28,0.72,-15.0,-0.6,-1.3,-9.73,-2.52,-10.0,0.0,-0.5,0.2,-0.8
2014-07-30,-3.04,-19.0,-0.5,-0.8,-19.66,-19.0,-1.0,0.1,0.6,0.7,-0.4
2014-07-31,-0.47,23.0,0.6,1.5,-18.97,-13.51,3.0,0.3,-0.5,0.5,-0.6
2014-08-01,10.11,-17.0,-0.5,-0.6,32.88,32.88,42.0,-0.8,-1.7,-0.1,-1.8
2014-08-04,-2.66,-32.0,-1.7,-1.0,-5.63,3.98,-12.0,0.5,1.3,1.4,0.3
2014-08-05,-5.86,33.0,1.3,0.9,2.21,-1.68,19.0,0.2,0.7,0.9,-0.8
2014-08-06,2.51,14.0,0.7,0.2,2.93,1.53,-11.0,-0.3,-1.0,-0.2,-1.2
2014-08-07,-1.12,-20.0,-1.0,-1.8,4.62,9.28,-9.0,-0.2,-0.3,0.8,-0.5
2014-08-08,3.4,0.0,-0.3,-0.2,-4.65,-1.53,2.0,-0.8,-1.0,-0.7,-1.4
2014-08-11,-4.24,-27.0,-1.0,-1.6,-6.79,7.87,4.0,0.8,0.7,0.8,0.3
2014-08-12,-3.79,11.0,0.7,0.5,2.56,-2.29,-11.0,0.8,1.4,1.5,0.3
2014-08-13,2.19,37.0,1.4,1.4,2.74,1.73,7.0,-0.3,-0.0,0.4,-0.5
2014-08-14,-3.94,-7.0,-0.0,-1.1,9.92,2.14,-18.0,0.2,0.7,0.8,0.0
2014-08-18,2.14,19.0,0.7,1.2,1.83,2.43,6.0,-0.2,0.9,1.1,-0.4
2014-08-19,2.98,27.0,0.9,2.2,4.45,14.62,-11.0,0.2,0.4,0.6,0.1
2014-08-20,-1.76,19.0,0.4,0.6,1.29,3.59,11.0,-0.0,-0.2,0.1,-0.4
2014-08-21,0.53,-9.0,-0.2,-0.1,-1.04,-2.95,5.0,-0.0,0.2,0.6,-0.3
2014-08-22,-0.82,1.0,0.2,1.0,-2.56,8.0,-5.0,0.1,0.3,0.5,0.0
2014-08-25,1.23,9.0,0.3,1.0,-2.16,2.93,3.0,-0.0,-0.2,0.6,-0.3
2014-08-26,0.83,-12.0,-0.2,-0.9,-10.67,-12.24,-6.0,-0.3,-0.1,0.0,-0.6
2014-08-27,-6.04,1.0,-0.1,-0.2,-18.09,-12.53,-10.0,0.3,0.3,0.5,0.1
2014-08-28,0.04,11.0,0.3,0.4,-15.77,-11.84,-8.0,0.7,0.7,1.0,0.5
2014-09-01,3.54,7.0,0.7,0.5,46.74,48.73,46.0,0.4,1.0,1.1,0.4
2014-09-02,-0.61,31.0,1.0,2.1,2.44,15.48,12.0,-0.2,0.6,0.9,-0.2
2014-09-03,-0.41,13.0,0.6,0.6,2.12,4.13,-4.0,0.2,0.2,0.6,-0.0
2014-09-04,-2.35,-1.0,0.2,-0.1,1.22,-0.16,-16.0,-0.2,-0.1,-0.0,-0.6
2014-09-05,-1.09,6.0,-0.1,-0.4,-5.81,-3.97,13.0,0.0,-0.2,0.2,-0.7
2014-09-08,-1.1,-1.0,-0.2,-0.4,-3.63,-0.99,-8.0,0.3,0.9,1.0,0.3
2014-09-09,-0.27,32.0,0.9,1.3,3.29,6.16,-14.0,0.1,-0.1,0.1,-0.4
2014-09-10,1.35,-5.0,-0.1,-0.2,-4.17,-3.01,13.0,-0.3,-0.6,-0.3,-0.9
2014-09-11,-3.19,-22.0,-0.6,0.0,-4.55,3.55,9.0,0.1,-0.1,0.2,-0.7
2014-09-12,-1.22,-3.0,-0.1,0.3,-3.87,-3.95,-3.0,-0.1,0.2,0.4,-0.3
2014-09-15,7.2,10.0,0.2,0.2,-1.69,0.13,-2.0,-0.5,-0.9,-0.5,-1.1
2014-09-16,0.21,-29.0,-0.9,-0.6,-1.78,-2.03,-14.0,-0.1,-1.3,-0.1,-1.4
2014-09-17,-2.52,-31.0,-1.3,-2.0,-3.93,-2.97,9.0,0.4,0.4,0.6,0.0
2014-09-18,-4.81,9.0,0.4,0.0,-2.19,-7.51,-13.0,-0.4,1.8,1.9,-0.5
2014-09-19,-3.55,40.0,1.8,1.9,7.54,-2.33,5.0,-0.0,-0.1,0.4,-0.3
2014-09-22,-2.71,4.0,-0.1,-0.3,-6.19,-3.1,-15.0,-0.6,0.3,0.6,-0.8
2014-09-23,7.31,5.0,0.3,0.4,-13.0,-4.01,3.0,-0.2,-1.5,0.1,-1.6
2014-09-24,1.01,-40.0,-1.5,-1.8,-8.78,-5.52,3.0,-0.1,-0.2,0.2,-0.9
2014-09-25,6.08,-4.0,-0.2,-1.0,-20.16,-7.93,-2.0,0.7,-0.5,0.7,-0.9
2014-09-26,-2.78,-10.0,-0.5,-2.0,27.76,64.96,60.0,-0.2,0.8,1.1,-0.9
2014-09-29,3.54,15.0,0.8,1.8,4.0,-2.89,3.0,-0.2,-0.5,0.1,-0.8
2014-09-30,-1.79,-18.0,-0.5,-1.2,-5.52,0.15,-35.0,-0.2,0.1,1.1,-0.4
2014-10-01,-1.1,-1.0,0.1,-0.4,1.28,-3.91,-1.0,-0.1,-0.2,0.2,-0.3
2014-10-07,11.25,-12.0,-0.2,-0.6,-0.4,-1.07,5.0,-0.7,-1.2,-0.2,-1.3
2014-10-08,-2.42,-33.0,-1.2,-0.8,4.04,5.86,1.0,-0.3,0.1,0.4,-0.5
2014-10-09,-6.78,19.0,0.1,1.2,0.31,1.1,18.0,0.5,1.2,1.4,0.3
2014-10-10,8.93,25.0,1.2,2.3,0.59,0.96,-30.0,-0.8,-1.3,-0.5,-1.5
2014-10-13,1.19,-28.0,-1.3,-2.0,-6.0,-3.76,-3.0,-0.7,0.3,0.5,-0.9
2014-10-14,0.64,10.0,0.3,1.4,-3.94,8.96,0.0,0.5,-0.2,0.5,-0.8
2014-10-16,12.61,-8.0,-0.2,0.6,-0.73,-2.21,6.0,-0.3,-1.5,0.3,-1.7
2014-10-17,-0.2,-34.0,-1.5,-1.4,-1.89,-0.89,-1.0,0.3,0.5,1.2,-0.3
2014-10-20,-13.48,23.0,0.5,2.7,8.35,9.29,9.0,1.3,1.0,1.6,0.8
2014-10-21,-6.06,33.0,1.0,1.6,3.75,4.1,-25.0,0.2,0.6,0.8,-0.1
2014-10-22,-2.25,19.0,0.6,1.3,3.44,7.13,1.0,0.8,0.8,1.0,0.6
2014-10-23,-1.29,19.0,0.8,0.1,1.88,-4.41,-2.0,0.3,0.1,0.3,0.0
2014-10-27,5.07,15.0,0.1,0.0,-0.86,1.53,-10.0,0.5,-0.3,0.5,-0.4
2014-10-28,-1.42,-7.0,-0.3,0.6,-5.86,-7.65,-4.0,0.2,0.5,0.7,0.1
2014-10-29,-2.38,7.0,0.5,0.6,-14.53,-7.84,8.0,0.5,0.6,0.7,0.2
2014-10-30,2.0,16.0,0.6,-0.3,-11.15,-15.15,-18.0,0.4,1.3,1.6,0.2
2014-10-31,0.23,37.0,1.3,1.1,30.57,50.71,37.0,0.4,1.9,2.0,0.3
2014-11-03,3.33,38.0,1.9,1.9,11.89,6.94,2.0,0.3,0.1,0.4,-0.1
2014-11-05,0.13,-2.0,0.1,0.5,3.04,1.67,7.0,0.3,0.2,0.6,0.0
2014-11-07,2.58,-1.0,0.2,1.4,5.96,10.28,6.0,0.1,0.0,0.2,-0.6
2014-11-10,-1.28,-1.0,0.0,-0.1,1.67,-4.43,4.0,0.2,-0.0,0.4,-0.5
2014-11-11,6.25,-2.0,-0.0,-0.5,0.22,-3.83,-12.0,0.2,0.2,0.3,-0.3
2014-11-12,-2.47,1.0,0.2,0.8,0.3,3.6,-2.0,0.2,0.3,0.6,0.1
2014-11-13,-4.4,-1.0,0.3,1.0,2.5,7.02,2.0,0.1,-0.5,0.1,-0.8
2014-11-14,1.25,-7.0,-0.5,-0.9,-2.83,-8.67,-15.0,0.1,0.4,0.6,-0.1
2014-11-17,3.13,17.0,0.4,0.8,-1.09,4.25,5.0,-0.1,0.4,0.6,-0.5
2014-11-18,-2.39,7.0,0.4,0.2,-0.16,0.21,-6.0,-0.0,-0.0,0.2,-0.2
2014-11-19,1.99,0.0,-0.0,0.2,-0.85,5.12,5.0,0.2,-0.5,0.2,-0.8
2014-11-20,-1.25,-20.0,-0.5,-0.6,-2.76,-7.23,2.0,0.1,0.1,0.2,-0.5
2014-11-21,-2.21,-4.0,0.1,0.2,-2.61,-2.34,-11.0,0.0,0.9,1.1,-0.1
2014-11-24,-6.03,22.0,0.9,2.4,-2.1,4.62,-4.0,0.4,0.5,0.6,0.2
2014-11-25,3.9,5.0,0.5,1.2,-9.84,-10.71,-12.0,0.0,-0.8,0.1,-1.2
2014-11-26,-3.99,-14.0,-0.8,-1.3,-30.99,-21.16,-2.0,-0.1,0.2,0.6,-0.3
2014-11-27,-1.87,1.0,0.2,-0.4,-27.82,-7.86,0.0,0.4,0.8,0.9,0.3
2014-11-28,1.22,25.0,0.8,0.9,28.94,42.82,58.0,0.3,1.1,1.4,0.3
2014-12-01,2.36,20.0,1.1,2.9,6.09,11.32,-4.0,-0.1,-0.5,0.3,-0.6
2014-12-02,-6.12,-9.0,-0.5,-0.1,-1.21,0.52,-11.0,-0.1,-0.2,0.1,-0.7
2014-12-03,-0.22,-7.0,-0.2,0.1,-2.51,6.44,12.0,-0.0,0.0,0.2,-0.4
2014-12-04,0.63,3.0,0.0,0.3,-4.11,0.42,-11.0,0.5,0.3,0.6,-0.2
2014-12-05,-3.98,-3.0,0.3,0.6,-3.02,0.54,0.0,0.2,-0.3,0.2,-0.4
2014-12-08,2.15,-22.0,-0.3,-0.0,1.22,1.19,4.0,-0.1,-1.1,0.1,-1.2
2014-12-09,2.36,-24.0,-1.1,-1.2,5.79,4.2,9.0,-0.4,-1.1,-0.1,-1.3
2014-12-10,-2.02,-32.0,-1.1,-1.1,3.86,-7.29,2.0,-0.3,0.2,0.4,-0.3
2014-12-11,4.33,10.0,0.2,1.1,-0.67,0.77,-2.0,-0.4,-0.8,-0.1,-1.1
2014-12-12,7.67,-24.0,-0.8,-0.5,0.74,-3.42,-2.0,0.1,-0.8,0.3,-0.9
2014-12-15,1.95,-22.0,-0.8,-0.5,4.53,-0.81,5.0,-0.5,-0.1,0.1,-0.6
2014-12-16,16.32,-12.0,-0.1,0.4,1.73,-5.09,-6.0,-0.6,-1.8,-0.5,-2.0
2014-12-17,3.79,-33.0,-1.8,-3.1,1.72,5.0,2.0,-0.3,-0.7,0.0,-1.3
2014-12-18,-13.75,-15.0,-0.7,0.2,0.05,-9.34,-21.0,1.0,1.5,1.7,0.5
2014-12-19,-0.6,34.0,1.5,2.4,-8.02,0.79,-13.0,0.7,0.7,1.2,0.6
2014-12-22,-2.07,17.0,0.7,0.6,-10.19,-12.7,-8.0,0.3,1.1,1.3,-0.0
2014-12-23,7.65,35.0,1.1,1.4,-9.32,-8.83,-6.0,0.0,-0.8,0.4,-0.9
2014-12-24,-1.49,-19.0,-0.8,-0.7,-25.58,-31.33,-6.0,0.8,0.1,1.0,-0.1
2014-12-26,-2.82,-3.0,0.1,0.7,30.85,44.83,120.0,-0.0,-0.0,0.5,-0.8
2014-12-29,-0.43,6.0,-0.0,-0.1,-0.71,4.99,-37.0,0.1,0.5,1.0,0.1
2014-12-30,1.92,30.0,0.5,-0.3,1.85,4.06,-4.0,0.1,0.0,0.2,-0.4
